,title,description
807,Medical Assistant,"Under the supervision of the designated supervisor and assigned physician, performs duties associated with direct patient care and clinical direction to provide patient care given in accordance with the organization standards. Assures completeness of ordered procedures and treatments, assures smooth patient flow, performs general lab work, instructs patients concerning procedures, treatments and needs, and ensures medical orders and referrals are carried out accurately and in a timely manner. Performs registration and scheduling activities per organizational and departmental procedures. Maintains EMR files and performs general front office functions as needed. May perform computerized physician order entry, only if directed by assigned physician. Expected to precept current MA team members or MA Externs as requested by leadership.
QUALIFICATIONS/KNOWLEDGE/SKILLS/ABILITIES
AHA Basic Life Support for healthcare workers certification required. Other advanced life support certifications may be required per unit/department specialty according to patient care policies.
High school diploma or equivalent and graduation from a Medical Assistant program required.
Current certification in medical assisting required from America Association of Medical Assistants (CMA), American Medical Technologists (RMA), National Health Career Association (CCMA), National Center for competency Testing (NCMA), and/or American Medical Certification Association (CMAC).
Knowledge of OSHA, CLIA, and ADA required.
Knowledge of ICD-10 and CPT coding required.
TB validated (to administer or read) or validation obtained within 6 months of hire preferred.
Knowledge of Business Unit Quality Programs, Meaningful Use and Standard Work Programs and concepts within 6 months of hire.
Knowledge of standard laboratory and medical procedures.
Knowledge of insurance plans and third-party payers.
Ability to master standard clinical competencies per current Clinical policy, Point of Care and Skills Competency checklists.
Requires basic math and accurate data collection and entry skills."
808,Retail Sales Manager,"CommissionJos. A. Bank stores a division of Tailored Brands is hiring a Retail Sales Managers that have a passion for helping people love how they look. At Jos A Bank we provide a personal, convenient, one of a kind retail shopping experience tailored personally to each customerÛªs lifestyle. Reaching your full potential matters. Our Manager in Training program offers competitive compensation plans which include a base salary plus commission for personal sales while being trained and actively participating in day-to-day operations. This engages you in all aspects of our culture in preparation for the next level within approximately 90 days.
It is our vision to provide an engaging workplace focused on teamwork, growth, and respect. Come experience our extraordinary culture built upon these guiding principles: live the Golden Rule, practice teamwork, have respect for each other, be trustworthy, and keep an open mind and heart. What a great place to work! We are always looking for talented and unique individuals to join our team. Take the first step towards your new career opportunity today!

Responsibilities
Follow the coaching and sales lead of the store manager to maximize personal and store sales volume
Retain, implement, and ultimately train the benchmark selling behaviors related to driving retail sales
Provide world class customer service by building quality relationships with customers and following up on all customer requests in a timely manner
Serve as a coach and role model to the store teams by providing constructive feedback and demonstrating servant leadership
In approximately 90 days or based on availability, meet performance expectations as a training manager to be considered a candidate for promotion into a Store Manager or Assistant Manager position


Requirements
Prior management or equivalent experience
Demonstrate effective interpersonal, organizational, and leadership skills
Possess the capacities to coach, motivate, and train a store team
Ability to work a flexible schedule including nights, weekends, and holidays

Primary Location United States-Indiana-West Lafayette
Work Locations 00599 W Lafayette 500 Sagamore Pkwy W Ste 6n University Square West Lafayette 47906
Job Store Management
Organization Jos A Bank Clothiers , Inc
Shift Day Job
Zone MW1
Requisition ID: 18003838

Job Posting Oct 16, 2018, 10:00:00 PM"
810,Insurance Sales,"A company built to serve you. It's your career, Shelter it!


At this time we are seeking an exceptional person to become our newest Shelter Insurance Agent. Candidates do not need to have a previous background in the insurance industry, while the experience is a plus it is far from required. What is required is a motivated attitude, an entrepreneurial spirit and the ability to effectively communicate with potential clients in a sales atmosphere.


If you have a strong desire to own a business and a passion for helping people, then you owe it to yourself to explore a partnership with Shelter Insurance Companies. Shelter has one of the top new-agent programs in the entire insurance industry and if you are committed to hard work, we can help you launch your insurance sales career.


Shelter Agents receive a tremendous amount of support as they build their business:

Subsidies & Office Staff Reimbursement if applicable
Unlimited New Commissions
Lucrative Bonus Opportunities
Exceptional Benefits Package
Computer and Technology Support
Professional Sales Training

Agent opportunities with Shelter Insuranceå¨ are highly coveted, so take the first step to becoming a member of our team today.


If interested, please apply by:
Develops prospects and make sales of all Companies' products through development of local agency business. The ability to develop contacts, network within the local area and community, and gain experience in planning and making sales is essential. General sales experience and a college degree with general business courses is helpful. Must take in-house training at various agent schools and continued industry education. May supervise activities of agency secretary, perform general administrative or record keeping duties related to sales. Eligible to work in the United States for any employer. No relocation compensation.
Frankfort, IN"
814,Radiologic Technologist,"Part-timeGeneral Position Description:
The Radiologic Technologist is responsible for performing all Radiology services and other clinical duties. In addition, ensuring the well-being of patients and for providing positive, supportive environment for patients and other staff while working in conjunction with physicians, advanced practitioners, front office and clinical staff.
MedExpress Core Responsibilities:
Has a contagious and positive work ethic, inspires others, and models the behaviors of Genuine, Caring and Friendly.
Demonstrates effective verbal and written communication that is clear, well-organized and demonstrates an understanding of audience needs.
Utilizes genuine and positive communication to, make each customer feel informed, understood, and special.
An effective team member who contributes valuable ideas and feedback and can be counted on to meet commitments.
Is able to keep up in the MedExpress environment by facing tasks and challenges with energy and passion.
Pursue activities with focus and drive, defines work in terms of success, and can be counted on to complete goals.
Adherence to standards of business conduct and compliance.


Principal Duties and Responsibilities:
Patient Care:
Perform accurate x-rays as ordered by the Provider while practicing radiation safety precautions to include ALARA.
Prepare and transmit images to the Radiologist for over-read, and report over-read results to providers.
Retrieve and archive Radiographic Reports.
Create/Burn CD?s in compliance with HIPAA regulations.
Complete Provider orders per clinical functions by position. (State applicable)
Triage patients to include taking and recording vital signs and patient history.
Assist patients as needed with walking, transfer, specimen collection, exam prep, etc.
Complete occupational health testing including such services as urine drug screens, breath alcohol testing, hair testing and physicals.
Apply the use of logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions and approaches to problems.
Ensure the well-being of patients and for providing a positive, supportive environment for patients and other staff.
Complete patient referrals daily.
Assist the provider with calling patients and informing them of normal lab and imaging results reviewed by the provider.
Proper, concise and complete EMR documentation and paper based documentation for all assessments and procedures.
Comply with and follow policies and procedures as outlined by MedExpress.
Maintains HIPAA at all times.
Other duties as assigned such as new models of care and new types of procedures, etc.


Learning and Ongoing Education:
Obtain and maintain certification to perform DOT UDS, BAT, hair testing, and other occupational health services as assigned.
Maintain clinical skills and competency for all procedures.
Maintain technical skills and apply new knowledge to position according to MedExpress policy.
Maintain knowledge of Medical Terminology and standards of care.
Maintain knowledge of common safety hazards and precautions to establish a safe work environment.
Read and keep up-to-date on all ME Communications.
Complete all assigned training.


Center Readiness and Maintenance:
Maintaining Quality Assurance of the radiology equipment and completion of Quality Control logs.
Assist in maintaining all quality control, clinic inspection, and machine maintenance on a daily basis and report any and all discrepancies appropriately.
Manage inventory of supplies; restock exam/procedure rooms.
Comply with requirements of appropriate regulatory agencies (i.e. OSHA, CLIA and Department of Health).
Maintain and comply with all MedExpress, Optum and Urgent Care Accreditation site assessment requirements.
Maintain clinical supplies and equipment and ensure proper storage of biohazards.
Prepare patient rooms, set up instruments and equipment according to protocol.
Clean exam/procedure rooms, instruments and equipment between patient visits to maintain infection control.
Clean according to scheduled maintenance program and keeping appropriate records.


Working Relationships:
Clinical Operations Managers and Directors.
Center Manager, center staffed based team-members including providers and non-providers.
Administrative clinical partners.

Qualifications:
Must be a graduate of an accredited school of Radiologic Technology.
Must meet all other applicable requirements by law, including but not limited to all state requirements and, therefore, must be licensed and accredited by ARRT, and State, if applicable.
2 years clinical experience in related field preferred.
Knowledge of PACS, Computed/Digital Radiography, documentation in an Electronic Medical Records (EMR) System and basic computer programs.
Ability to accurately perform required x-rays as ordered by the Medical Provider/s.
Knowledge of quality assurance processes, radiation safety measures, common safety hazards and precautions to establish a safe work environment.
Knowledge of applicable radiology state rules and regulations.
Ability to perform venipuncture and lab specimen collections experience preferred but not required.
Knowledge of federal, state and local laws and regulations including OSHA and HIPAA requirements.
Knowledge of computerized information systems (EMR) used in clinical management settings.
Required to maintain CMEÛªs as applicable for licensure.
Strong commitment to customer service and excellence in healthcare.
Ability to communicate effectively both orally and in writing.
Working Conditions:
Center-Based. Requires working in a clinical setting, the ability to stand and sit for hours at a time, (with some bending and stooping), ability to use manual dexterity in relation to clinical requirements, and ability to lift 50 lbs. The noise level is moderate and there is a potential for exposure to infectious diseases and blood-borne pathogens. Additional requirement: Travel to other Centers. Generally scheduled 12 hour shifts, hours may vary based on location and business needs. Hiring manager will provide details."
817,Flamewasher,"$10 an hourSummary: Removes excess steel from castings using a carbon arc rod. Once trained, this position will work our 2nd shift, which is normally 3pm-11pm.
Essential Duties and Responsibilities include the following. Other duties may be assigned.
Operates quick arc equipment with carbon arc rod safely and efficiently.
Uses a carbon arc torch contour riser, gate, and fin to contact surfaces safely, efficiently, and without gouging the casting surface.
Inspects equipment daily.
Removes fused chills from castings.
Communicates with supervision on quality and equipment problems.
Follows job work instructions and training matrix, where applicable.
Qualifications and Skills
Basic math & reading skills
Good problem solving skills and knowledge of safety practices High level of personal accountability and attention to detail
18 years of age and older
High School Diploma or equivalent preferred
Previous manufacturing experience helpful
Pass a drug test
Pay commensurate with experience
Job Type: Full-time
Work Environment:
The employee regularly works near moving mechanical parts, extreme heat and fumes or airborne particles, and is frequently exposed to toxic or caustic chemicals. Also exposure to outdoor weather conditions, non-weather related extreme cold, water and humidity, and the risk of electrical shock. The employee occasionally works in high, precarious places. The usual noise level is very loud. Must occasionally lift and/or move up to 70 pounds. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
About Harrison Steel:
Harrison Steel is a family owned company that engineers and manufactures castings of 350 to 12,500 pounds, net casting weight, for businesses in industries such as agriculture, mining, and oil and gas. The benefits of working at Harrison Steel include 401k and profit sharing, full health, vision and dental plans available, vacation, career opportunities to move into other departments and supervisory roles, and the WeCare Clinic, available to employees and family members for a variety of medical visits with no out-of-pocket costs. HS is located in Attica, Indiana, where it was founded in 1906 by J.W. Harrison, as the National Car Coupler Company. Attica is a rural city surrounded by traditional Midwest farmland that about 3,200 residents call home. The foundry is a 40-minute drive from Lafayette, Indiana or Danville, Illinois, and 1.5 hours from Indianapolis."
819,Manager,"To eat. To laugh. To share. That's why people come to Pizza Hut. It's the calling of our Managers to make them feel like family with smiles, teamwork and dedication. If you're an experienced restaurant or retail assistant manager, think about a career with Pizza Hut. You know who you are - a natural leader, you love putting together a winning team. You're all about teaching new things and motivating the team to work together. At Pizza Hut, you can do all that ÛÒ and more. Here, you will work with smart, experienced, fun people. Expect training and growth. Plenty of excitement. Unique challenges. And a world of opportunity.

Requirements

What are we looking for? The good news is that your training will teach you everything you need to know to succeed on the job. But there are a few skills you should have from the get-go:

You're all about creating a great place to work for your team.

You want to make your customer's day and it shows in the way you are maniacal about serving amazing pizza with a great big smile.

We have a GREAT culture and look for GREAT people to add to our family. You know who you are --honest, energetic, motivational and fun. You have a vision for the perfect restaurant, and you know how to get your team to bring it to life.

You set high standards for yourself and for your people.

You're up for a challenge. You love the excitement of the restaurant business and know every day is different.

And, you're at least 18 years old with a valid driver's license, reliable transportation (not public transportation ÛÒ you may need to drive to make deposits for the restaurant sometimes) and a true desire to learn and grow.

Keep in mind, this is just basic information. You'll find out more after you apply."
821,Technician,"Overview
Technician performs mechanical services on new and used heavy equipment in the service shop area. Position is responsible for testing, repairing and rebuilding heavy equipment. Additional responsibilities include; ordering parts, writing service reports, return of parts, core returns, assigning time to jobs and adhering to all safety regulations. Technician is also responsible for housekeeping (5S) and properly maintaining company issued tools and equipment
Responsibilities
Adheres to all safety rules and maintains good housekeeping (5S) in shop area.
Diagnoses and repairs equipment in the service shop.
Completes all required reporting for service time in an accurate and efficiently; this includes writing service reports, properly allocating time to each job, and tracking parts charged and parts returned.
Maintains customer satisfaction by understanding customer needs and deadlines, attempting to complete scheduled repairs and service as safely, timely and accurately as possible.
Maintains company issued equipment and tools, keeping them in good working order.
Qualifications
Knowledge, skills and abilities typically acquired through a high school education or equivalent. Technical background provided through a vocational school with studies in diesel equipment repair.
3-5 years of mechanical experience with heavy equipment, preferably with Caterpillar. Strong working knowledge of hydraulics, power train and electrical systems.
Solid understanding of work area metrics, takes responsibility for improving metrics and results. Understands the value of 6 Sigma in the workplace and contributes when asked. Applies initiative, demonstrating a ÛÏself startingÛ ability to daily work and proactively making improvements to the work process.
Exhibits good problem solving skills; is able to identify problems, solicit otherÛªs opinions and offer valid solutions. Interprets and applies policies, procedures and guidelines. Demonstrates a basic understanding of warranty administration.
Responds to customer requests with a sense of urgency, treating customers as his/her highest priority. Takes personal responsibility with customers, keeping commitments and following through on requests.
Is able to project professionalism with both internal and external customers, including personal appearance along with friendly, courteous treatment of peers, subordinates and customers.
A strong knowledge of the product and a good knowledge of the product market with a strong respect for the Caterpillar influence.
Is able to operate industry specific PC and main frame programs with a basic understanding of MS Word, Excel and data base systems.
The ability to work over time and weekends.
The duties and responsibilities described here are not a comprehensive list, and the scope of the job may change as necessitated by business demands.

MacAllister Machinery Co Inc. is an Equal Opportunity Employer (EEO)"
822,Technician,"Join the Smart Care Equipment Solutions team as a Commercial Kitchen Service Technician. As a Service Technician, you will become a trusted advisor to your customers by consistently delivering innovative solutions to predict and prevent kitchen equipment failure, contributing to the success of thousands of restaurants, hotels, hospitals and other commercial customers.

WhatÛªs in it For You:
On-the-job training as well as ongoing training with the potential for advanced certifications
Receive a company service vehicle, fuel card, tablet and cell phone for business use
Comprehensive benefits program including 401k and paid time off
Independent work environment
Take charge of your career through growth opportunities including advanced technician and management positions
What You Will Do:
Partner with restaurant and hospitality managers to offer comprehensive service solutions for commercial cooking, refrigeration, warewashing, and other specialty food service equipment
Demonstrate your mechanical aptitude, troubleshooting skills and ability to read diagrams and schematics
Position Details:
Work Location: Lafayette, IN

Physical Requirements:
Ability to frequently kneel, bend, squat, push, pull, reach, and occasionally lift and carry up to 70 pounds
Ability to work with moving mechanical parts, pressurized steam equipment, open flames, heated surfaces, liquids, and risk of electrical shock in damp, humid, or freezing conditions
Ability to work on ladders, roofs, and in rare cases, high, precarious places
Minimum Qualifications:
High School diploma or equivalent
1 year of technical experience with refrigeration, appliance repair, kitchen equipment, HVAC, or relevant military service
Valid driverÛªs license and acceptable motor vehicle record
Willingness and ability to be involved with the emergency on-call rotation that includes nights and weekends
Availability for occasional overnight travel as assigned
Immigration sponsorship not provided for this role
Preferred Qualifications:
Relevant technical training, licenses, and/or certifications (i.e. EPA, CFESA)
Commercial refrigeration and/or commercial cooking equipment repair experience
Self-motivated with the proven ability prioritize and work independently with minimal direct supervision
About Smart Care Equipment Solutions:
Join the industryÛªs largest independent service company specializing in preventive and round-the-clock service, repairs and parts for commercial cooking, refrigeration and warewashing equipment. The Smart Care Equipment Solutions team helps service customers across segments in the foodservice industry with scheduled maintenance programs and on-demand equipment repair 24/7/365. As part of the Smart Care team, you will help us partner with our customers to improve their operating efficiency and ensure that they meet the highest food safety and quality standards."
823,Restaurant Manager,"ÛÏ You are applying for work with a franchisee of Taco Bell, not Taco Bell Corp. or any of its affiliates. If hired, the franchisee will be your only employer. Franchisees are independent business owners who set their own wage and benefit programs that can vary among franchisees.Û

Restaurant General Manager

At Taco Bell, we're hungry for Mas. Mas Heart, Mas Flavor and Mas Value. If you want Mas in your life read on!
Think About it...
Do you go out of your way to make someone smile?
When you say thank you do you mean it?
Do you believe that everything is possible?
Are you a foodie?
Would your family members want to work for you?
Glass half full? Really?
Do you take your work seriously but not yourself? If no, your career aspiration with Taco Bell has died here.
The overall success of your restaurant is in your capable hands. You identify the strongest crew and train them to deliver the best customer experience. You will feel the pride of setting the standard that all other managers strive for. You will be in charge of recruiting and training your people, leading them to be promoted and empowering them to have a successful career. By empowering a team of top performers, you create a culture that is exciting, optimistic and rewarding.
Your success will be measured by the success of your team.
No Brainers...
Treat others as you want to be treated
Hire, train & develop great talent
Manage a P&L
Grow sales
Follow brand standards
Last but not least, create a restaurant experience for team members and customers that you are proud of.
This Summary Overview generally describes key job standards for Taco Bell Corporate employees. It is not all-inclusive, and a similar job at other Brands, Franchise or License locations may be different.
Brand: Taco Bell
Address: 1016 WEST SAGAMORE PARKWAY West Lafayette, IN - 47906
Property Description: 336 - West Sagamore Parkway - West Lafayette, IN
Property Number: 000336"
824,Sales Representative,"CommissionRequisition Number: 25375

Job Description

Cintas is seeking a Sales Representative to focus on new business-to-business account development in our Facility Services Division. Responsibilities include prospecting, cold calling, setting appointments with prospects, presenting programs and meeting a sales quota. Sales Representatives will also transport samples of products for presentations. Cintas provides a thorough sales training program, which includes product knowledge, mentorship, sales process and business development strategies.

Key Responsibilities:
Generating revenue and meeting sales targets
Developing and qualifying leads within respective territory to drive additional sales opportunities through cold-calling and lead generation campaigns
Gathering and utilizing business intelligence on prospects to support sales calls, product presentations and driving new business

Our Sales Representatives enjoy:
Solid base salary and commission potential
Extensive car package (lease/gas/insurance/maintenance allowance)
Monthly/Quarterly performance bonuses & incentives
Comprehensive 12-week sales training program
Mentorship program
Tablet & AirCard
Annual recognition events



Skills/Qualifications

Required
Minimum of 1 year outside sales experience or successful completion of a Cintas sales training program
Valid driver's license
High School Diploma/GED; Bachelor's Degree preferred

Preferred
New business-to-business (B2B) sales experience
Hunter sales mentality - goal driven and self-motivated
Proficiency with Microsoft Office (Word, Excel, PowerPoint, Outlook), intranet/internet and Contact Management System


Our employee-partners enjoy:
Competitive Pay
401(k)/Profit Sharing/ESOP
Medical, Dental and Vision Insurance Package
Disability and Life Insurance Package
Paid Time Off and Holidays
Career Advancement Opportunities
Headquartered in Cincinnati, Cintas is a publicly held company traded over the Nasdaq Global Select Market under the symbol CTAS and is a component of both the Standard & PoorÛªs 500 Index and Nasdaq-100 Index.
Cintas Corporation helps more than 900,000 businesses of all types and sizes get READYã¢ to open their doors with confidence every day by providing a wide range of products and services that enhance our customersÛª image and help keep their facilities and employees clean, safe and looking their best. With products and services including uniforms, mats, mops, restroom supplies, first aid and safety products, fire extinguishers and testing, and safety and compliance training, Cintas helps customers get Ready for the Workdayå¨.
To support our growth across North America, weÛªre seeking driven professionals with ambition to move up within our company. Our professional culture, our dedication to our employee-partners and limitless career opportunitiesÛÓthese are just a few benefits weÛªre proud to offer. Our employee-partners know every job is critical, and that teamwork drives innovation. LetÛªs talk about how youÛªll fit into our team and how your hard work will be recognized through competitive pay, world-class benefits and ongoing career development. Are you Readyã¢ for limitless opportunities at Cintas?
Cintas Corporation is an EEO/Affirmative Action Employer and will make all employment-related decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
Job Category: Sales
Organization: Rental
Employee Status: Regular
Schedule: Full Time
Shift: 1st Shift"
825,Shift Manager,"McDonald's Works for Me.

IÛªm going places. I want a satisfying career with good benefits and great opportunities for advancement. I have a lot to offer and I want to grow.

The Job for Me ÛÒ Get a job that inspires your best and moves you forward. Choose your hours. Pursue your education. Build your skills and be yourself.

The Team for Me ÛÒ Our people want to say YES ÛÓ to working with energy and purpose, finding new talent, providing coaching and direction, honing their leadership skills, and helping to run a business that serves up delicious food and feel-good moments. Does this sound like you? YouÛªll fit right in.

The Company for Me ÛÒ From here, you can go further than you thought possible. Reach your goals and build your future with college tuition assistance, valuable job training, and retirement benefits.

LetÛªs talk. Make your move.

Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leadership to crew and other managers during a shift to ensure great Quality, Service and Cleanliness to customers.

Shift Managers perform a variety of tasks, which may include planning for each shift, monitoring performance during the shift, taking action to ensure the team is meeting McDonaldÛªs standards, monitoring safety, security, and profitability, and communicating with the next Shift Manager to help prepare him/her to run a great shift, too. Shift Managers may also be responsible for meeting targets during their shifts and for helping their assigned Departments meet their goals.

As a Shift Manager, you may be responsible for:

Food Safety
Internal Communication
Inventory Management
Daily Maintenance and Cleanliness
Managing Crew
Quality Food Production
Exceptional Customer Service
Safety and Security
Scheduling
Training

Previous leadership experience is preferred, ideally within a restaurant, retail or hospitality environment. WeÛªre looking for positive team players with a flexible schedule who like to have fun, with the passion to work the famously fast paced McDonaldÛªs environment. You must be 18 years or older to be a manager in our corporate owned and operated restaurants."
826,Automotive Technician,"Overview
We Promise to Care

We understand that we offer more than just car service. We rescue people from bad days and we offer solutions for difficult situations. We are people of integrity and we believe that fundamental honesty is the keystone of our business. We are committed to doing the hard work necessary to earn the loyalty of our teammates and our customers by providing a positive experience every time. We are proud and passionate to represent the brand of Bridgestone. Every day, in every store, with every teammate and every customerÛ?.We promise to care!

Our Purpose: To be the most trusted provider of automotive care in every neighborhood we serve.

Bridgestone Retail Operations, LLC employs over 22,000 teammates in North America and operates more than 2,200 company-owned stores. Our locations include Firestone Complete Auto Care, Tires Plus, Hibdon Tires and Wheel Works.

Apply today to learn more about why Bridgestone Retail Operations is the right place to build your career!
Responsibilities
Job Responsibilities of Tire/Maintenance Technician :
Learn how to diagnose and repair basic systems to become certified in a minimum of 5 areas with a preference for brakes, alignments, suspensions, cooling and electrical
Change oil and/or transmission fluid and filters
Install batteries and checks electrical systems
Install and perform tire maintenance
Road test vehicles
Qualifications
Demonstrate the ability to learn basic mechanical tasks
You'll also need a high level of motivation, energy and a customer-focused attitude.
Must have a valid driverÛªs license.
Pre-employment drug test/physical/ background check will help assure we build teams of people who can best work with others and serve customer needs.

If you meet the qualifications listed above, possess a can do attitude and have a desire to progress in your career with the automotive service industry leader who puts their mechanics / auto technicians first, please apply today!

Benefits, Privileges and Growth Opportunities
We offer over 31 Benefits and Privileges to include medical, dental, vision, 401k, cash balance retirement plan and more.
We are An Equal Opportunity Affirmative Action Employer.
One of our strengths is found in our commitment to serve a diverse customer population with diverse teams of teammates.
Over 100 years of success is an indication of the stability our workforce enjoys."
827,Manufacturing Engineer,"Oerlikon Fairfield Drive Systems, a member of the Oerlikon family of companies, is recruiting for a Manufacturing Engineer/ CNC Programmer located in Lafayette, IN.

Founded in 1919, Oerlikon Fairfield creates innovative industrial solutions for a better life as a leading supplier of complete drive systems as well as gear systems and single components for transmissions. Oerlikon Fairfield strives to be your most reliable business partner worldwide by providing engineered gear and drive systems for off-highway and industrial original equipment manufacturers. We increase value through high-quality innovative solutions, continuously. We engage highly qualified professionals.

Position Summary:
Develop Lean Manufacturing Methods to continuously improve the manufacturing process in the factory, while maintaining the lowest cost and the highest quality. This individual will be responsible for manufacturing process plans and mentoring other associates. This position will be in contact with all areas of the business.

Tasks and Responsibilities:

Maintain process plans, Support manufacturing floor in all areas of the manufacturing process including CNC programming.
Contact machine tool vendors for assistance as required.
Work closely with Process Designers to ensure their training and development.
Plant layout to ensure through put environment on the shop floor.
Deliver complete and accurate instructions to Process Designers for all tooling and gauging required at operation of plan.
Review tool and manufacturing drawings and support documents to validate correctness and adherence to the manufacturing process plan.
Work with Metallurgy on selection of raw material.
Work with Purchasing Department on purchase of all raw material, hardware and services required to manufacture the part correctly.
Contact customers to resolve technical issues.
Additional tasks as identified by Manufacturing Manager.
Assist Sales as technical support with customer.
Work with external suppliers and machine tool representatives to develop and validate all manufacturing processes
Monitor manufacturing cost against manufacturing estimate
Validate manufacturing time standards.
Interact with factory personnel solve process and tooling related problems.


Knowledge & Skills Summary:

Experienced in Lean manufacturing concepts and methods to continuously improve the manufacturing process.
Proficiency in Solid Works Cad, Esprit Cam packages or equivalent required.
Familiarity with fixture and gage design.
Ability to read blueprints.


Education and work Experience:

BS Degree Industrial Engineering preferred, Mechanical Engineering Technology, related degree or equivalent experience
Prefer minimum of 2 years of manufacturing engineering experience in metal working industry.


As an EOE/AA employer, the organization will not discriminate in its employment practices due to an applicantÛªs race, color, Religion, gender, sexual orientation, gender identity, religion, National origin, veteran or disability status."
828,Automotive Technician,"Automotive Technician As a Midas technician, youÛªll be exposed to and have responsibility for performing a wide range of diagnostics, repairs and maintenance (Only 30% of business is exhaust and brake work. The rest is all under hood, suspension, etc. )
Diagnostics using state-of-the-art computer systems
Tires and tire repair
Car heating and air conditioning
Steering and suspension
Belts and hoses
Radiator and engine cooling systems
Batteries, starting and charging
Steering and suspension
Brakes and brake repair
Oil changes
Check engine light
Mufflers and exhaust services
Visual safety and courtesy inspections"
829,Senior Engineer,"Wabash National is more than a place to work. It is a place to contribute your talents, taking pride in being part of a team that moves diverse industries forward through innovative solutions. Each associate is a valued team member, empowered to carry forward the legacy of innovation that jumpstarted the company over 25 years ago.
If you are applying for a position with certain of Wabash National Corporation's subsidiaries, such as Brenner Tank, LLC, Garsite/Progress LLC, or Walker Stainless Equipment LLC, with locations in Kansas and Wisconsin, please know that these companies are equal opportunity/affirmative action employers. You can learn more about your rights by viewing the federal ""EEO is the Law"" poster at http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

If you are passionate about making a difference and being part of a team that is shaping the future, take a closer look at Wabash National. We look for strong, stand-out recruits with the desire to elevate our organization and make it the best it can be ÛÒ for our associates, our customers and our community.

Position Description:
The Research & Development Engineer is a technical lead responsible for innovation, technology and product development to support initiatives in lightweight composite panels, and composite panel solutions, and other key initiatives identified by the business. This role is responsible in leading the next generation technologies in lightweight laminated composite panels and advanced development of building blocks and platforms that can be utilized or applied to new products and product engineering. Also, the role is responsible for leading group projects to identify, evaluate test and concept/develop new solutions, leveraging thermoplastic, thermoset, and new technologies and new processes where appropriate. R&D will also include research/investigation and development of new continuous lamination automation to support introduction of honeycomb and composite panel manufacturing lines. This role will lead prototype development activities and work with a prototype team. Additionally, the candidate will support as necessary, operations & manufacturing to support initiatives of continuous improvement in quality, reliability, cost and performance where applicable. The role will be required to work cross-functionally with other business areas including Sales, Marketing and Operations as necessary.
Essential Duties and Responsibilities:
Manages R&D projects and prototype development
Leads concept and innovation brainstorming sessions
Develops or leverages new technologies for use in new designs
Develops or leverages new processes for use in new manufacturing lines and processes
Product Development on key strategic projects and initiatives
Investigates new technologies and processes that can be leveraged into new products
Performs other job-related duties as assigned


 Education Requirements:
MasterÛªs Degree
College Degree Major Desired: Masters in Materials Science/Plastics Engineering or Materials Science/Plastics Engineering Technology; Doctorate degree is a plus; Concentration in thermoplastics & thermoset technology desired. Composite panel lamination experience preferred.


Knowledge, Training, Skills and/or Experience:
Knowledge and/or training courses specific for this position:
Engineering concentration ÛÒ plastics/materials engineering
New product development process
Research & Development process
Composites panel lamination process


Skills specific for this position:
Project management (technical project management experience preferred)
Analytical skills
Problem solving method (Scientific method minimum)
Product Development


Experience specific for this position:
5 plus yearsÛª of relevant research and development experience
Laminated Composite Panel product development
Composites process development
Thermoplastics & Thermoset process experience


Equal opportunity employer. This company considers candidates regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.
Wabash National is a tobacco free environment.
If you need any assistance seeking a job opportunity at Wabash National Corporation or any of its affiliates, or if you need reasonable accommodation with the application process, please email careers@wabashnational.com."
